,p_gender,p_race,p_att,path,p_profile,author_name,author_tag,text,p_issue,p_salience,lean,p_retweet,retweet,p_quote,quote,p_like,like,p_output,time
0,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,Immigrants who enter the country illegally or overstay their visas are breaking the law and must be held accountable.,Gun Control,High,Conservative,high,2929,high,3110,high,2913,male_white_latt_Representative_Gun Control_High_Conservative_rethigh_quotehigh_likehigh.png,2022-07-05 14:34
1,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,Illegal immigration is a threat to our national security and puts a strain on our economy and resources.,Gun Control,High,Conservative,high,2929,high,3212,low,2,male_white_latt_Representative_Gun Control_High_Conservative_rethigh_quotehigh_likelow.png,2022-07-05 14:34
2,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Criminals will always find ways to obtain guns, regardless of the laws in place.",Gun Control,High,Conservative,high,2929,high,3110,medium,65,male_white_latt_Representative_Gun Control_High_Conservative_rethigh_quotehigh_likemedium.png,2022-07-05 14:34
3,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,Immigrants who enter the country illegally or overstay their visas are breaking the law and must be held accountable.,Gun Control,High,Conservative,high,2929,low,0,high,3438,male_white_latt_Representative_Gun Control_High_Conservative_rethigh_quotelow_likehigh.png,2022-07-05 14:34
4,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Prioritizing the needs and well-being of American citizens must be the top priority, not the interests of those seeking to enter the country illegally.",Gun Control,High,Conservative,high,2786,low,0,low,0,male_white_latt_Representative_Gun Control_High_Conservative_rethigh_quotelow_likelow.png,2022-07-05 14:34
5,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Abortion not only ends the life of the unborn child, but it also has negative physical and emotional effects on the mother.",Gun Control,High,Conservative,high,2670,low,3,medium,66,male_white_latt_Representative_Gun Control_High_Conservative_rethigh_quotelow_likemedium.png,2022-07-05 14:34
6,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,Immigrants who enter the country illegally or overstay their visas are breaking the law and must be held accountable.,Gun Control,High,Conservative,high,2670,medium,59,high,2729,male_white_latt_Representative_Gun Control_High_Conservative_rethigh_quotemedium_likehigh.png,2022-07-05 14:34
7,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,Gun control is a violation of the Second Amendment and the right to bear arms.,Gun Control,High,Conservative,high,2670,medium,59,low,4,male_white_latt_Representative_Gun Control_High_Conservative_rethigh_quotemedium_likelow.png,2022-07-05 14:34
8,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Gun control does not prevent gun violence, it only prevents law-abiding citizens from defending themselves.",Gun Control,High,Conservative,high,2670,medium,71,medium,66,male_white_latt_Representative_Gun Control_High_Conservative_rethigh_quotemedium_likemedium.png,2022-07-05 14:34
9,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Abortion is not healthcare, it is the taking of a human life.",Gun Control,High,Conservative,low,3,high,3212,high,2729,male_white_latt_Representative_Gun Control_High_Conservative_retlow_quotehigh_likehigh.png,2022-07-05 14:34
10,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,Gun control only serves to disarm law-abiding citizens and make them more vulnerable to criminals and tyrants.,Gun Control,High,Conservative,low,3,high,3212,low,4,male_white_latt_Representative_Gun Control_High_Conservative_retlow_quotehigh_likelow.png,2022-07-05 14:34
11,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,Gun control is a violation of the Second Amendment and the right to bear arms.,Gun Control,High,Conservative,low,3,high,3110,medium,66,male_white_latt_Representative_Gun Control_High_Conservative_retlow_quotehigh_likemedium.png,2022-07-05 14:34
12,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Gun control does not prevent gun violence, it only prevents law-abiding citizens from defending themselves.",Gun Control,High,Conservative,low,3,low,3,high,3438,male_white_latt_Representative_Gun Control_High_Conservative_retlow_quotelow_likehigh.png,2022-07-05 14:34
13,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Gun control is not the solution, addressing the root causes of violence and mental illness is the key to reducing gun violence.",Gun Control,High,Conservative,low,3,low,0,low,2,male_white_latt_Representative_Gun Control_High_Conservative_retlow_quotelow_likelow.png,2022-07-05 14:34
14,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,Illegal immigration is a threat to our national security and puts a strain on our economy and resources.,Gun Control,High,Conservative,low,0,low,3,medium,66,male_white_latt_Representative_Gun Control_High_Conservative_retlow_quotelow_likemedium.png,2022-07-05 14:34
15,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Abortion is not a solution to unplanned pregnancies, adoption is a loving option that allows the child to live.",Gun Control,High,Conservative,low,0,medium,83,high,2729,male_white_latt_Representative_Gun Control_High_Conservative_retlow_quotemedium_likehigh.png,2022-07-05 14:34
16,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Gun control is not the solution, addressing the root causes of violence and mental illness is the key to reducing gun violence.",Gun Control,High,Conservative,low,0,medium,83,low,0,male_white_latt_Representative_Gun Control_High_Conservative_retlow_quotemedium_likelow.png,2022-07-05 14:34
17,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,Immigrants who enter the country illegally or overstay their visas are breaking the law and must be held accountable.,Gun Control,High,Conservative,low,3,medium,83,medium,65,male_white_latt_Representative_Gun Control_High_Conservative_retlow_quotemedium_likemedium.png,2022-07-05 14:34
18,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Gun control is not the solution, addressing the root causes of violence and mental illness is the key to reducing gun violence.",Gun Control,High,Conservative,medium,64,high,3212,high,2729,male_white_latt_Representative_Gun Control_High_Conservative_retmedium_quotehigh_likehigh.png,2022-07-05 14:34
19,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Abortion does not empower women, it exploits them and denies them the opportunity to be mothers.",Gun Control,High,Conservative,medium,64,high,2678,low,4,male_white_latt_Representative_Gun Control_High_Conservative_retmedium_quotehigh_likelow.png,2022-07-05 14:34
20,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Gun control is not the solution, addressing the root causes of violence and mental illness is the key to reducing gun violence.",Gun Control,High,Conservative,medium,64,high,2678,medium,66,male_white_latt_Representative_Gun Control_High_Conservative_retmedium_quotehigh_likemedium.png,2022-07-05 14:34
21,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Abortion does not empower women, it exploits them and denies them the opportunity to be mothers.",Gun Control,High,Conservative,medium,64,low,3,high,3438,male_white_latt_Representative_Gun Control_High_Conservative_retmedium_quotelow_likehigh.png,2022-07-05 14:34
22,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Abortion does not empower women, it exploits them and denies them the opportunity to be mothers.",Gun Control,High,Conservative,medium,55,low,0,low,4,male_white_latt_Representative_Gun Control_High_Conservative_retmedium_quotelow_likelow.png,2022-07-05 14:34
23,male,white,latt,input/avatar/male_white_latt.jpeg,Representative,Representative Jonhson,@Rep_Johnson,"Abortion not only ends the life of the unborn child, but it also has negative physical and emotional effects on the mother.",Gun Control,High,Conservative,medium,64,low,3,medium,66,male_white_latt_Representative_Gun Control_High_Conservative_retmedium_quotelow_likemedium.png,2022-07-05 14:34
